,identifier,principal_component_1,principal_component_2,iso_forest_scores,iso_forest_outliers
2693,20088,3.0702698106720425,-0.19052651292979192,0.118585362357638,No
2694,20088,2.545725417829749,0.6144571385536786,0.08055517448811778,No
2695,20088,2.38133030884076,1.1975602330768944,0.04349199993227548,No
2696,20088,2.347107066897391,1.9108951777906462,0.016024728121580845,No
2697,20089,-1.0981363291245554,-0.7919548867213915,0.22037166232774646,No
2698,20089,-1.0900720421711287,-0.8049560796103757,0.22128156788928727,No
2699,20089,-1.0961018568992749,-0.8323588879153686,0.217574987942307,No
2700,20089,0.906460637117553,-0.8547070721710517,0.15075746216560199,No
2701,20115,-1.1459518894119538,-0.37514518938532676,0.2246319449951012,No
2702,20115,-0.9276834211177605,-0.35514008645790984,0.2255480077583859,No
2703,20115,-1.0084697651061785,-0.4185051195176063,0.23228025410445613,No
2704,20115,-0.363849320165959,-0.498984054731254,0.22690785499147575,No
2705,20116,-0.40223438068818074,-0.3780976089430395,0.22721169099629368,No
2706,20116,-0.44737286527679226,-0.4218037819549829,0.22514748099437654,No
2707,20116,-0.6148699093059647,-0.4982343631948466,0.23408771138845325,No
2708,20116,-0.09119388834970028,-0.5509307622036762,0.21831073401944534,No
2709,20126,-0.9875704632866662,-0.7273978175984519,0.22631188869898455,No
2710,20126,-0.9713326818624616,-0.6844260258457,0.23289933144154534,No
2711,20126,-1.0025333351325942,-0.6625994500700407,0.23302186551644127,No
2712,20126,-0.42357201910142994,-0.69197506820232,0.22413337197418393,No
2713,20185,-1.524495372793447,-0.0310071093007043,0.16560052769078681,No
2714,20185,-1.5792234312111304,-0.24307849233230597,0.18379377708672495,No
2715,20185,-1.5757131394535238,-0.2114794670167176,0.18297396432733654,No
2716,20185,-0.92309612744038,-0.19674104982190488,0.22301171919396112,No
2717,20228,-1.0378954573708241,-0.8083540451763329,0.22255597781931208,No
2718,20228,-0.811720074269074,-0.7702886179877294,0.22260184907066033,No
2719,20228,-0.510768928107088,-0.8458766115725947,0.20909283647855154,No
2720,20228,-0.4231889173803015,-0.9100852929269505,0.19897801556975825,No
2721,20229,2.7520265252606992,-0.038901086776215524,0.12493153773097704,No
2722,20229,2.6707920207929288,0.19179489996771557,0.10871674113919993,No
2723,20229,2.485888772941226,0.513102298374324,0.08934261408182864,No
2724,20229,2.0377618501496193,-0.2179656529842747,0.14765409002031815,No
2725,20232,-1.0140951730287706,-0.5594983687709606,0.2300012641654295,No
2726,20232,-0.23330243208270118,-0.5270019669234884,0.2235100729552193,No
2727,20232,-0.2629842036538199,-0.7017024625162618,0.21982663620496767,No
2728,20232,-0.43791657783466303,-0.7302723464446609,0.21933560256919737,No
2729,20235,0.3220309361529981,0.06367866654463972,0.1902216053845016,No
2730,20235,1.6864654706491833,0.07146594819340112,0.14841557423606122,No
2731,20235,1.9054186638534183,-0.05563850651624415,0.14289363718159542,No
2732,20235,-0.17510168414620203,-0.10895779223162595,0.20218431737010967,No
2733,20298,0.44191301974255587,-0.8393371717839796,0.16735345468856994,No
2734,20298,0.28323254344208904,-1.0181924320200584,0.15747947508268956,No
2735,20298,-1.125645833769356,-0.948321047665486,0.20655326120012396,No
2736,20298,-0.5240128994651156,-0.7881456886805567,0.21434467689409065,No
2737,20423,0.7819968967518928,-0.7489906934249417,0.1746430748970339,No
2738,20423,0.8877549425847029,-0.7667508513555514,0.16930855032668596,No
2739,20423,0.08847389279834068,-0.9874124367350774,0.17567755784094463,No
2740,20423,-0.42151488957519045,-0.8234371291438877,0.20964242228447255,No
2741,20473,-0.7287445113558326,-0.6895736453470815,0.23051173731489105,No
2742,20473,-0.885374872835194,-0.6926448407127199,0.22922641056449,No
2743,20473,-1.0682820317193091,-0.7240093987097074,0.223473436188993,No
2744,20473,-0.4904592831696597,-0.7479870318829711,0.21985644045432345,No
2745,20548,1.0448980983692957,-1.0908608857370106,0.08176168057897115,No
2746,20548,0.6989649307459068,-1.1219817445054405,0.0941123739412989,No
2747,20548,-1.3630135054378227,-1.012167362022433,0.18733977965559495,No
2748,20548,-0.14504253799450534,-1.0398073059353228,0.16911743925594347,No
2749,20659,0.8410394831215239,-0.48397503607442677,0.18215001275209253,No
2750,20659,-0.4799687223389567,-0.44426192226666456,0.22787195237778707,No
2751,20659,-0.6224289194891531,-0.4279864399892075,0.23482427248489635,No
2752,20659,1.7717501829827242,-0.5851782688231528,0.16098751945495887,No
2753,20661,-0.35565948419785914,-0.29075461613046644,0.22462029276860346,No
2754,20661,-0.5011099101462341,-0.2990436187969034,0.22259950058219297,No
2755,20661,-0.33724227977427784,-0.35402084939121387,0.22534179106373547,No
2756,20661,0.29505253685833027,-0.2842388045513978,0.20791394234205685,No
2757,20692,-0.39685084338962145,-0.6977549100070889,0.2242450283843912,No
2758,20692,-0.4179328842099433,-0.676200090640538,0.2247010196720292,No
2759,20692,-0.594788408208424,-0.703474055972991,0.22849253179320733,No
2760,20692,0.07848503058199578,-0.7209638962688367,0.2144397657821282,No
2761,20699,0.378989429658412,-0.8076951654871585,0.18501589274602975,No
2762,20699,-0.4043892019127245,-0.6531767088613435,0.2229860149528729,No
2763,20699,1.2553207717872217,-0.658824723888347,0.16699273595503833,No
2764,20699,1.21247264813505,-0.731168238815067,0.16236887294952512,No
2765,20748,-0.03440188973484637,-0.7611814061824203,0.20865320680596833,No
2766,20748,-0.26934997095080687,-0.8337594926619138,0.19980262015502503,No
2767,20748,-0.2250394465988206,-0.9735264897433478,0.18046230934448615,No
2768,20748,0.43507098298809677,-0.9571443304916261,0.14922811918922507,No
2769,20779,-1.201382286513718,-1.222402281657082,0.14239150046712823,No
2770,20779,-1.2267311729781303,-1.2239584900431768,0.14366582368695613,No
2771,20779,-1.258074512991163,-1.2268472489821627,0.14631133086383208,No
2772,20779,-1.0314281584741314,-1.2279684615038438,0.1432209138321262,No
2773,20823,-1.4059403322942363,-0.2299309762977366,0.19427069022708948,No
2774,20823,0.188257144965128,-0.29760850370749004,0.21537370725182625,No
2775,20823,0.17726086849252165,-0.15338448058508267,0.20330908051499008,No
2776,20823,0.8023864523309985,-0.16519340092835938,0.18425301836593266,No
2777,20904,-1.2441810664612178,-0.9596056592311656,0.19622002668175487,No
2778,20904,-1.2180046140603207,-0.9387304212931503,0.20273027815615025,No
2779,20904,-1.2183794028179027,-0.9291922026717361,0.20099267757219785,No
2780,20904,0.6555497739114652,-1.0509771448461713,0.109481544584069,No
2781,20943,3.722011318279926,-0.7008009836329575,0.06754709891246025,No
2782,20943,3.20227734525609,-0.7188893901981296,0.09728208361033786,No
2783,20943,3.410837903174607,-0.752999390199058,0.08941823571194485,No
2784,20943,3.5105662180178716,-0.8018861160328831,0.07425921874268182,No
2785,20944,-2.8077995799686772,-0.8125816296947653,0.028441115345126056,No
2786,20944,-2.519814542989302,-0.820912648329575,0.06527372429058931,No
2787,20944,-2.3758089724809364,-0.8585695537450251,0.07822979134047359,No
2788,20944,-1.8423175048745464,-0.8353245434218864,0.1554892954060595,No
2789,20945,1.4214384864863603,-0.029675418506883863,0.15891524919107314,No
2790,20945,1.4814416340251437,0.05976954450069301,0.15378910849175975,No
2791,20945,2.0090329633462205,-0.1574731046552094,0.15232393099704805,No
2792,20945,1.973860118785937,-0.2979730279002663,0.15767460771085773,No
2793,20961,2.9713745642340896,-0.603902130059376,0.1176244993300371,No
2794,20961,3.0887267598031998,-0.497720464699253,0.11549493289777762,No
2795,20961,3.0720171526968296,-0.3062243717374306,0.11867044519609693,No
2796,20961,3.491118657453176,-0.20127514913268243,0.08952297155709676,No
2797,21004,1.0991216515576392,-0.5748602945300495,0.17626319544594904,No
2798,21004,-0.20273777355203682,-0.634472621487369,0.22391068861445018,No
2799,21004,-0.3985461677697905,-0.7421681828840636,0.22115290500104146,No
2800,21004,0.39587585066613074,-0.7745307735996059,0.18546881009879573,No
2801,21006,3.728058072411634,-0.5277561675984067,0.07017469255389652,No
2802,21006,3.6263246665769318,-0.37516751186925396,0.08844656550981,No
2803,21006,2.9972536687722586,-0.4704564984732569,0.12330687671023177,No
2804,21006,2.9380905406164075,-0.3590356321353123,0.12139547479910912,No
2805,21012,3.9044212150658044,-0.8961103873269632,0.02186138589595965,No
2806,21012,3.998866436454691,-0.7005898538738754,0.033926500751058186,No
2807,21012,3.5692367946944015,-0.6569904513984705,0.07993482736788127,No
